"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","ResourceName","RDataPath","Tags"
"SRR1779746.bam","Bam file for single-cell ATAC-seq data (GEO Accession GSE65360). Original .fastq files were downloaded and then alignments were performed to obtained these files","3.12","hg19","BAM","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65360","Jan 01 2019","Homo sapiens",9606,TRUE,"GEO","Wenpin Hou <wp.hou3@gmail.com>","BamFile","BamFile","SRR1779746.bam","SCATEData/SRR1779746.bam:SCATEData/SRR1779746.bam.bai","bam"
"SRR1779805.bam","Bam file for single-cell ATAC-seq data (GEO Accession GSE65360). Original .fastq files were downloaded and then alignments were performed to obtained these files","3.12","hg19","BAM","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65360","Jan 01 2019","Homo sapiens",9606,TRUE,"GEO","Wenpin Hou <wp.hou3@gmail.com>","BamFile","BamFile","SRR1779805.bam","SCATEData/SRR1779805.bam:SCATEData/SRR1779805.bam.bai","bam"
"SRR1779856.bam","Bam file for single-cell ATAC-seq data (GEO Accession GSE65360). Original .fastq files were downloaded and then alignments were performed to obtained these files","3.12","hg19","BAM","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65360","Jan 01 2019","Homo sapiens",9606,TRUE,"GEO","Wenpin Hou <wp.hou3@gmail.com>","BamFile","BamFile","SRR1779856.bam","SCATEData/SRR1779856.bam:SCATEData/SRR1779856.bam.bai","bam"
"SRR1779874.bam","Bam file for single-cell ATAC-seq data (GEO Accession GSE65360). Original .fastq files were downloaded and then alignments were performed to obtained these files","3.12","hg19","BAM","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65360","Jan 01 2019","Homo sapiens",9606,TRUE,"GEO","Wenpin Hou <wp.hou3@gmail.com>","BamFile","BamFile","SRR1779874.bam","SCATEData/SRR1779874.bam:SCATEData/SRR1779874.bam.bai","bam"
"SRR1779956.bam","Bam file for single-cell ATAC-seq data (GEO Accession GSE65360). Original .fastq files were downloaded and then alignments were performed to obtained these files","3.12","hg19","BAM","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65360","Jan 01 2019","Homo sapiens",9606,TRUE,"GEO","Wenpin Hou <wp.hou3@gmail.com>","BamFile","BamFile","SRR1779956.bam","SCATEData/SRR1779956.bam:SCATEData/SRR1779956.bam.bai","bam"
"SRR1779959.bam","Bam file for single-cell ATAC-seq data (GEO Accession GSE65360). Original .fastq files were downloaded and then alignments were performed to obtained these files","3.12","hg19","BAM","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65360","Jan 01 2019","Homo sapiens",9606,TRUE,"GEO","Wenpin Hou <wp.hou3@gmail.com>","BamFile","BamFile","SRR1779959.bam","SCATEData/SRR1779959.bam:SCATEData/SRR1779959.bam.bai","bam"
"SRR1779973.bam","Bam file for single-cell ATAC-seq data (GEO Accession GSE65360). Original .fastq files were downloaded and then alignments were performed to obtained these files","3.12","hg19","BAM","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65360","Jan 01 2019","Homo sapiens",9606,TRUE,"GEO","Wenpin Hou <wp.hou3@gmail.com>","BamFile","BamFile","SRR1779973.bam","SCATEData/SRR1779973.bam:SCATEData/SRR1779973.bam.bai","bam"
"SRR1780018.bam","Bam file for single-cell ATAC-seq data (GEO Accession GSE65360). Original .fastq files were downloaded and then alignments were performed to obtained these files","3.12","hg19","BAM","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65360","Jan 01 2019","Homo sapiens",9606,TRUE,"GEO","Wenpin Hou <wp.hou3@gmail.com>","BamFile","BamFile","SRR1780018.bam","SCATEData/SRR1780018.bam:SCATEData/SRR1780018.bam.bai","bam"
"SRR1780020.bam","Bam file for single-cell ATAC-seq data (GEO Accession GSE65360). Original .fastq files were downloaded and then alignments were performed to obtained these files","3.12","hg19","BAM","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65360","Jan 01 2019","Homo sapiens",9606,TRUE,"GEO","Wenpin Hou <wp.hou3@gmail.com>","BamFile","BamFile","SRR1780020.bam","SCATEData/SRR1780020.bam:SCATEData/SRR1780020.bam.bai","bam"
"SRR1780054.bam","Bam file for single-cell ATAC-seq data (GEO Accession GSE65360). Original .fastq files were downloaded and then alignments were performed to obtained these files","3.12","hg19","BAM","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65360","Jan 01 2019","Homo sapiens",9606,TRUE,"GEO","Wenpin Hou <wp.hou3@gmail.com>","BamFile","BamFile","SRR1780054.bam","SCATEData/SRR1780054.bam:SCATEData/SRR1780054.bam.bai","bam"
"hg19 annotation file","hg19 annotation file for SCATE","3.12","hg19","RDS","https://github.com/zji90/SCATE/tree/master/inst/extdata","Jan 01 2019","Homo sapiens",9606,TRUE,"SCATE","Wenpin Hou <wp.hou3@gmail.com>","list","Rds","hg19.rds","SCATEData/hg19.rds","hg19:annotation"
"mm10 annotation file","mm10 annotation file for SCATE","3.12","mm10","RDS","https://github.com/zji90/SCATE/tree/master/inst/extdata","Jan 01 2019","Mus musculus",10090,TRUE,"SCATE","Wenpin Hou <wp.hou3@gmail.com>","list","Rds","mm10.rds","SCATEData/mm10.rds","mm10:annotation"
